"PopulationCode","IndividualCode","Species","Country","Locality","Latitude","Longitude","Elevation","Garden","soil_pH","Im_annual","Im_summer","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","PC_climate1","PC_climate2"
"SAL","QFagSala01","Quercus faginea","Spain","Salamanca",40.87523,-5.82989,864,"OE, GH",6.5,-454.471541666482,-395.558527451517,11.9899797439575,11.6248331069946,39.5840072631836,625.337036132812,29.4167499542236,0.0492499992251396,29.3675003051758,5.62720823287964,20.0636253356934,20.0877914428711,4.932541847229,629,83,15,42.0769081115723,231,67,74,227,2.23995690057225,1.27949211532036
"SAL","QFagSala04","Quercus faginea","Spain","Salamanca",40.87523,-5.82989,864,"OE, GH",6.5,-454.471541666482,-395.558527451517,11.9899797439575,11.6248331069946,39.5840072631836,625.337036132812,29.4167499542236,0.0492499992251396,29.3675003051758,5.62720823287964,20.0636253356934,20.0877914428711,4.932541847229,629,83,15,42.0769081115723,231,67,74,227,2.23995690057225,1.27949211532036
"SAL","QFagSala05","Quercus faginea","Spain","Salamanca",40.87523,-5.82989,864,"OE, GH",6.5,-454.471541666482,-395.558527451517,11.9899797439575,11.6248331069946,39.5840072631836,625.337036132812,29.4167499542236,0.0492499992251396,29.3675003051758,5.62720823287964,20.0636253356934,20.0877914428711,4.932541847229,629,83,15,42.0769081115723,231,67,74,227,2.23995690057225,1.27949211532036
"SAL","QFagSala06","Quercus faginea","Spain","Salamanca",40.87523,-5.82989,864,"OE, GH",6.5,-454.471541666482,-395.558527451517,11.9899797439575,11.6248331069946,39.5840072631836,625.337036132812,29.4167499542236,0.0492499992251396,29.3675003051758,5.62720823287964,20.0636253356934,20.0877914428711,4.932541847229,629,83,15,42.0769081115723,231,67,74,227,2.23995690057225,1.27949211532036
"SAL","QFagSala08","Quercus faginea","Spain","Salamanca",40.87523,-5.82989,864,"OE, GH",6.5,-454.471541666482,-395.558527451517,11.9899797439575,11.6248331069946,39.5840072631836,625.337036132812,29.4167499542236,0.0492499992251396,29.3675003051758,5.62720823287964,20.0636253356934,20.0877914428711,4.932541847229,629,83,15,42.0769081115723,231,67,74,227,2.23995690057225,1.27949211532036
"SAL","QFagSala09","Quercus faginea","Spain","Salamanca",40.87523,-5.82989,864,"OE, GH",6.5,-454.471541666482,-395.558527451517,11.9899797439575,11.6248331069946,39.5840072631836,625.337036132812,29.4167499542236,0.0492499992251396,29.3675003051758,5.62720823287964,20.0636253356934,20.0877914428711,4.932541847229,629,83,15,42.0769081115723,231,67,74,227,2.23995690057225,1.27949211532036
"SAL","QFagSala10","Quercus faginea","Spain","Salamanca",40.87523,-5.82989,864,"OE, GH",6.5,-454.471541666482,-395.558527451517,11.9899797439575,11.6248331069946,39.5840072631836,625.337036132812,29.4167499542236,0.0492499992251396,29.3675003051758,5.62720823287964,20.0636253356934,20.0877914428711,4.932541847229,629,83,15,42.0769081115723,231,67,74,227,2.23995690057225,1.27949211532036
"SOT","QFagSoto01","Quercus faginea","Spain","Soto del Real",40.74432,-3.74622,909,"OE, GH",7.19999980926514,-562.984813847228,-372.007826243965,11.6597709655762,10.5812921524048,36.2745666503906,672.730224609375,28.6687507629395,-0.501250028610229,29.1700000762939,7.78666687011719,20.4182510375977,20.470832824707,4.14454174041748,462,55,16,35.4183692932129,158,63,66,127,3.78003649717639,1.02173820790082
"SOT","QFagSoto02","Quercus faginea","Spain","Soto del Real",40.74432,-3.74622,909,"OE, GH",7.19999980926514,-562.984813847228,-372.007826243965,11.6597709655762,10.5812921524048,36.2745666503906,672.730224609375,28.6687507629395,-0.501250028610229,29.1700000762939,7.78666687011719,20.4182510375977,20.470832824707,4.14454174041748,462,55,16,35.4183692932129,158,63,66,127,3.78003649717639,1.02173820790082
"SOT","QFagSoto03","Quercus faginea","Spain","Soto del Real",40.74432,-3.74622,909,"OE, GH",7.19999980926514,-562.984813847228,-372.007826243965,11.6597709655762,10.5812921524048,36.2745666503906,672.730224609375,28.6687507629395,-0.501250028610229,29.1700000762939,7.78666687011719,20.4182510375977,20.470832824707,4.14454174041748,462,55,16,35.4183692932129,158,63,66,127,3.78003649717639,1.02173820790082
"SOT","QFagSoto04","Quercus faginea","Spain","Soto del Real",40.74432,-3.74622,909,"OE, GH",7.19999980926514,-562.984813847228,-372.007826243965,11.6597709655762,10.5812921524048,36.2745666503906,672.730224609375,28.6687507629395,-0.501250028610229,29.1700000762939,7.78666687011719,20.4182510375977,20.470832824707,4.14454174041748,462,55,16,35.4183692932129,158,63,66,127,3.78003649717639,1.02173820790082
"SOT","QFagSoto05","Quercus faginea","Spain","Soto del Real",40.74432,-3.74622,909,"OE, GH",7.19999980926514,-562.984813847228,-372.007826243965,11.6597709655762,10.5812921524048,36.2745666503906,672.730224609375,28.6687507629395,-0.501250028610229,29.1700000762939,7.78666687011719,20.4182510375977,20.470832824707,4.14454174041748,462,55,16,35.4183692932129,158,63,66,127,3.78003649717639,1.02173820790082
"SOT","QFagSoto06","Quercus faginea","Spain","Soto del Real",40.74432,-3.74622,909,"OE, GH",7.19999980926514,-562.984813847228,-372.007826243965,11.6597709655762,10.5812921524048,36.2745666503906,672.730224609375,28.6687507629395,-0.501250028610229,29.1700000762939,7.78666687011719,20.4182510375977,20.470832824707,4.14454174041748,462,55,16,35.4183692932129,158,63,66,127,3.78003649717639,1.02173820790082
"TAL","QFagTala02","Quercus faginea","Spain","Talayuela",39.94701,-5.58068,270,"OE",7,-789.570379868252,-463.542081839553,15.743260383606,11.8414373397827,39.8728446960449,627.610473632812,32.7827491760254,3.0847499370575,29.6979999542236,9.24316692352295,23.7939586639404,23.8111248016357,8.55550003051758,434,57,6,46.9095802307129,165,37,41,159,2.56967167741544,-2.84077580591956
"TAL","QFagTala03","Quercus faginea","Spain","Talayuela",39.94701,-5.58068,270,"OE",7,-789.570379868252,-463.542081839553,15.743260383606,11.8414373397827,39.8728446960449,627.610473632812,32.7827491760254,3.0847499370575,29.6979999542236,9.24316692352295,23.7939586639404,23.8111248016357,8.55550003051758,434,57,6,46.9095802307129,165,37,41,159,2.56967167741544,-2.84077580591956
"TAL","QFagTala04","Quercus faginea","Spain","Talayuela",39.94701,-5.58068,270,"OE",7,-789.570379868252,-463.542081839553,15.743260383606,11.8414373397827,39.8728446960449,627.610473632812,32.7827491760254,3.0847499370575,29.6979999542236,9.24316692352295,23.7939586639404,23.8111248016357,8.55550003051758,434,57,6,46.9095802307129,165,37,41,159,2.56967167741544,-2.84077580591956
"TAL","QFagTala05","Quercus faginea","Spain","Talayuela",39.94701,-5.58068,270,"OE",7,-789.570379868252,-463.542081839553,15.743260383606,11.8414373397827,39.8728446960449,627.610473632812,32.7827491760254,3.0847499370575,29.6979999542236,9.24316692352295,23.7939586639404,23.8111248016357,8.55550003051758,434,57,6,46.9095802307129,165,37,41,159,2.56967167741544,-2.84077580591956
"TAL","QFagTala06","Quercus faginea","Spain","Talayuela",39.94701,-5.58068,270,"OE",7,-789.570379868252,-463.542081839553,15.743260383606,11.8414373397827,39.8728446960449,627.610473632812,32.7827491760254,3.0847499370575,29.6979999542236,9.24316692352295,23.7939586639404,23.8111248016357,8.55550003051758,434,57,6,46.9095802307129,165,37,41,159,2.56967167741544,-2.84077580591956
"TAL","QFagTala07","Quercus faginea","Spain","Talayuela",39.94701,-5.58068,270,"OE",7,-789.570379868252,-463.542081839553,15.743260383606,11.8414373397827,39.8728446960449,627.610473632812,32.7827491760254,3.0847499370575,29.6979999542236,9.24316692352295,23.7939586639404,23.8111248016357,8.55550003051758,434,57,6,46.9095802307129,165,37,41,159,2.56967167741544,-2.84077580591956
"MOL","QFagMoli02","Quercus faginea","Spain","Torrecuadrada de Molina",40.79333,-1.82689,1139,"OE, GH",7.40000009536743,-585.915865075658,-383.858111967747,10.2574787139893,14.2936248779297,43.7826881408691,652.890869140625,29.298999786377,-3.34774994850159,32.6467514038086,11.9978332519531,18.6468334197998,18.8149166107178,3.01154160499573,541,73,25,29.644588470459,177,97,106,128,4.71365568886183,2.43568377978924
"MOL","QFagMoli03","Quercus faginea","Spain","Torrecuadrada de Molina",40.79333,-1.82689,1139,"OE, GH",7.40000009536743,-585.915865075658,-383.858111967747,10.2574787139893,14.2936248779297,43.7826881408691,652.890869140625,29.298999786377,-3.34774994850159,32.6467514038086,11.9978332519531,18.6468334197998,18.8149166107178,3.01154160499573,541,73,25,29.644588470459,177,97,106,128,4.71365568886183,2.43568377978924
"MOL","QFagMoli04","Quercus faginea","Spain","Torrecuadrada de Molina",40.79333,-1.82689,1139,"OE, GH",7.40000009536743,-585.915865075658,-383.858111967747,10.2574787139893,14.2936248779297,43.7826881408691,652.890869140625,29.298999786377,-3.34774994850159,32.6467514038086,11.9978332519531,18.6468334197998,18.8149166107178,3.01154160499573,541,73,25,29.644588470459,177,97,106,128,4.71365568886183,2.43568377978924
"MOL","QFagMoli05","Quercus faginea","Spain","Torrecuadrada de Molina",40.79333,-1.82689,1139,"OE, GH",7.40000009536743,-585.915865075658,-383.858111967747,10.2574787139893,14.2936248779297,43.7826881408691,652.890869140625,29.298999786377,-3.34774994850159,32.6467514038086,11.9978332519531,18.6468334197998,18.8149166107178,3.01154160499573,541,73,25,29.644588470459,177,97,106,128,4.71365568886183,2.43568377978924
"MOL","QFagMoli06","Quercus faginea","Spain","Torrecuadrada de Molina",40.79333,-1.82689,1139,"OE, GH",7.40000009536743,-585.915865075658,-383.858111967747,10.2574787139893,14.2936248779297,43.7826881408691,652.890869140625,29.298999786377,-3.34774994850159,32.6467514038086,11.9978332519531,18.6468334197998,18.8149166107178,3.01154160499573,541,73,25,29.644588470459,177,97,106,128,4.71365568886183,2.43568377978924
"MOL","QFagMoli09","Quercus faginea","Spain","Torrecuadrada de Molina",40.79333,-1.82689,1139,"OE, GH",7.40000009536743,-585.915865075658,-383.858111967747,10.2574787139893,14.2936248779297,43.7826881408691,652.890869140625,29.298999786377,-3.34774994850159,32.6467514038086,11.9978332519531,18.6468334197998,18.8149166107178,3.01154160499573,541,73,25,29.644588470459,177,97,106,128,4.71365568886183,2.43568377978924
"MOL","QFagMoli10","Quercus faginea","Spain","Torrecuadrada de Molina",40.79333,-1.82689,1139,"OE, GH",7.40000009536743,-585.915865075658,-383.858111967747,10.2574787139893,14.2936248779297,43.7826881408691,652.890869140625,29.298999786377,-3.34774994850159,32.6467514038086,11.9978332519531,18.6468334197998,18.8149166107178,3.01154160499573,541,73,25,29.644588470459,177,97,106,128,4.71365568886183,2.43568377978924
"MOL","QFagMoli11","Quercus faginea","Spain","Torrecuadrada de Molina",40.79333,-1.82689,1139,"OE, GH",7.40000009536743,-585.915865075658,-383.858111967747,10.2574787139893,14.2936248779297,43.7826881408691,652.890869140625,29.298999786377,-3.34774994850159,32.6467514038086,11.9978332519531,18.6468334197998,18.8149166107178,3.01154160499573,541,73,25,29.644588470459,177,97,106,128,4.71365568886183,2.43568377978924
"MOL","QFagMoli12","Quercus faginea","Spain","Torrecuadrada de Molina",40.79333,-1.82689,1139,"OE, GH",7.40000009536743,-585.915865075658,-383.858111967747,10.2574787139893,14.2936248779297,43.7826881408691,652.890869140625,29.298999786377,-3.34774994850159,32.6467514038086,11.9978332519531,18.6468334197998,18.8149166107178,3.01154160499573,541,73,25,29.644588470459,177,97,106,128,4.71365568886183,2.43568377978924
"MOL","QFagMoli13","Quercus faginea","Spain","Torrecuadrada de Molina",40.79333,-1.82689,1139,"OE, GH",7.40000009536743,-585.915865075658,-383.858111967747,10.2574787139893,14.2936248779297,43.7826881408691,652.890869140625,29.298999786377,-3.34774994850159,32.6467514038086,11.9978332519531,18.6468334197998,18.8149166107178,3.01154160499573,541,73,25,29.644588470459,177,97,106,128,4.71365568886183,2.43568377978924
"MOL","QFagMoli14","Quercus faginea","Spain","Torrecuadrada de Molina",40.79333,-1.82689,1139,"OE, GH",7.40000009536743,-585.915865075658,-383.858111967747,10.2574787139893,14.2936248779297,43.7826881408691,652.890869140625,29.298999786377,-3.34774994850159,32.6467514038086,11.9978332519531,18.6468334197998,18.8149166107178,3.01154160499573,541,73,25,29.644588470459,177,97,106,128,4.71365568886183,2.43568377978924
"VAL","QFagVald01","Quercus faginea","Spain","Valderejo",42.89713,-3.23803,1066,"GH",6.40000009536743,-58.2217379106512,-237.336452149731,10.577052116394,10.0174379348755,41.2235984802246,521.429748535156,24.7584991455078,0.458250015974045,24.3002490997314,5.4327917098999,17.3602085113525,17.3602085113525,4.6919584274292,866,94,44,24.9361724853516,269,147,147,246,0.737629841847587,6.70430156123386
"VAL","QFagVald02","Quercus faginea","Spain","Valderejo",42.89713,-3.23803,1066,"GH",6.40000009536743,-58.2217379106512,-237.336452149731,10.577052116394,10.0174379348755,41.2235984802246,521.429748535156,24.7584991455078,0.458250015974045,24.3002490997314,5.4327917098999,17.3602085113525,17.3602085113525,4.6919584274292,866,94,44,24.9361724853516,269,147,147,246,0.737629841847587,6.70430156123386
"VAL","QFagVald03","Quercus faginea","Spain","Valderejo",42.89713,-3.23803,1066,"GH",6.40000009536743,-58.2217379106512,-237.336452149731,10.577052116394,10.0174379348755,41.2235984802246,521.429748535156,24.7584991455078,0.458250015974045,24.3002490997314,5.4327917098999,17.3602085113525,17.3602085113525,4.6919584274292,866,94,44,24.9361724853516,269,147,147,246,0.737629841847587,6.70430156123386
"VAL","QFagVald04","Quercus faginea","Spain","Valderejo",42.89713,-3.23803,1066,"GH",6.40000009536743,-58.2217379106512,-237.336452149731,10.577052116394,10.0174379348755,41.2235984802246,521.429748535156,24.7584991455078,0.458250015974045,24.3002490997314,5.4327917098999,17.3602085113525,17.3602085113525,4.6919584274292,866,94,44,24.9361724853516,269,147,147,246,0.737629841847587,6.70430156123386
"VAL","QFagVald05","Quercus faginea","Spain","Valderejo",42.89713,-3.23803,1066,"GH",6.40000009536743,-58.2217379106512,-237.336452149731,10.577052116394,10.0174379348755,41.2235984802246,521.429748535156,24.7584991455078,0.458250015974045,24.3002490997314,5.4327917098999,17.3602085113525,17.3602085113525,4.6919584274292,866,94,44,24.9361724853516,269,147,147,246,0.737629841847587,6.70430156123386
"VAL","QFagVald07","Quercus faginea","Spain","Valderejo",42.89713,-3.23803,1066,"GH",6.40000009536743,-58.2217379106512,-237.336452149731,10.577052116394,10.0174379348755,41.2235984802246,521.429748535156,24.7584991455078,0.458250015974045,24.3002490997314,5.4327917098999,17.3602085113525,17.3602085113525,4.6919584274292,866,94,44,24.9361724853516,269,147,147,246,0.737629841847587,6.70430156123386
"VAL","QFagVald10","Quercus faginea","Spain","Valderejo",42.89713,-3.23803,1066,"GH",6.40000009536743,-58.2217379106512,-237.336452149731,10.577052116394,10.0174379348755,41.2235984802246,521.429748535156,24.7584991455078,0.458250015974045,24.3002490997314,5.4327917098999,17.3602085113525,17.3602085113525,4.6919584274292,866,94,44,24.9361724853516,269,147,147,246,0.737629841847587,6.70430156123386
"VAL","QFagVald11","Quercus faginea","Spain","Valderejo",42.89713,-3.23803,1066,"GH",6.40000009536743,-58.2217379106512,-237.336452149731,10.577052116394,10.0174379348755,41.2235984802246,521.429748535156,24.7584991455078,0.458250015974045,24.3002490997314,5.4327917098999,17.3602085113525,17.3602085113525,4.6919584274292,866,94,44,24.9361724853516,269,147,147,246,0.737629841847587,6.70430156123386
"ZAF","QFagZafr01","Quercus faginea","Spain","Zafra",38.38436,-6.28528,561,"OE",7.30000019073486,-673.552911596202,-499.768663639584,15.5350208282471,13.2194585800171,41.5095977783203,651.619323730469,34.1720008850098,2.32524991035461,31.8467502593994,8.98124980926514,23.9278335571289,23.996000289917,8.13779163360596,638,105,6,60.0694580078125,281,37,40,256,1.75716233234509,-2.96520200190288
"ZAF","QFagZafr02","Quercus faginea","Spain","Zafra",38.38436,-6.28528,561,"OE",7.30000019073486,-673.552911596202,-499.768663639584,15.5350208282471,13.2194585800171,41.5095977783203,651.619323730469,34.1720008850098,2.32524991035461,31.8467502593994,8.98124980926514,23.9278335571289,23.996000289917,8.13779163360596,638,105,6,60.0694580078125,281,37,40,256,1.75716233234509,-2.96520200190288
"ZAF","QFagZafr03","Quercus faginea","Spain","Zafra",38.38436,-6.28528,561,"OE",7.30000019073486,-673.552911596202,-499.768663639584,15.5350208282471,13.2194585800171,41.5095977783203,651.619323730469,34.1720008850098,2.32524991035461,31.8467502593994,8.98124980926514,23.9278335571289,23.996000289917,8.13779163360596,638,105,6,60.0694580078125,281,37,40,256,1.75716233234509,-2.96520200190288
"ZAF","QFagZafr04","Quercus faginea","Spain","Zafra",38.38436,-6.28528,561,"OE",7.30000019073486,-673.552911596202,-499.768663639584,15.5350208282471,13.2194585800171,41.5095977783203,651.619323730469,34.1720008850098,2.32524991035461,31.8467502593994,8.98124980926514,23.9278335571289,23.996000289917,8.13779163360596,638,105,6,60.0694580078125,281,37,40,256,1.75716233234509,-2.96520200190288
"ZAF","QFagZafr05","Quercus faginea","Spain","Zafra",38.38436,-6.28528,561,"OE",7.30000019073486,-673.552911596202,-499.768663639584,15.5350208282471,13.2194585800171,41.5095977783203,651.619323730469,34.1720008850098,2.32524991035461,31.8467502593994,8.98124980926514,23.9278335571289,23.996000289917,8.13779163360596,638,105,6,60.0694580078125,281,37,40,256,1.75716233234509,-2.96520200190288
"CA","QLusCast01","Quercus lusitanica","Spain","Castano de Robledo",37.8958,-6.7079,735,"GH",5.90000009536743,-541.695878688681,-446.721389040286,15.0203857421875,11.2182292938232,40.1701927185059,583.786376953125,31.2360000610352,3.30925011634827,27.9267501831055,9.33787536621094,22.4700832366943,22.6675415039062,8.40775012969971,643,104,4,62.0370826721191,285,32,34,263,-0.0835912517589654,-1.96343987005263
"CA","QLusCast02","Quercus lusitanica","Spain","Castano de Robledo",37.8958,-6.7079,735,"GH",5.90000009536743,-541.695878688681,-446.721389040286,15.0203857421875,11.2182292938232,40.1701927185059,583.786376953125,31.2360000610352,3.30925011634827,27.9267501831055,9.33787536621094,22.4700832366943,22.6675415039062,8.40775012969971,643,104,4,62.0370826721191,285,32,34,263,-0.0835912517589654,-1.96343987005263
"CA","QLusCast03","Quercus lusitanica","Spain","Castano de Robledo",37.8958,-6.7079,735,"GH",5.90000009536743,-541.695878688681,-446.721389040286,15.0203857421875,11.2182292938232,40.1701927185059,583.786376953125,31.2360000610352,3.30925011634827,27.9267501831055,9.33787536621094,22.4700832366943,22.6675415039062,8.40775012969971,643,104,4,62.0370826721191,285,32,34,263,-0.0835912517589654,-1.96343987005263
"CA","QLusCast04","Quercus lusitanica","Spain","Castano de Robledo",37.8958,-6.7079,735,"GH",5.90000009536743,-541.695878688681,-446.721389040286,15.0203857421875,11.2182292938232,40.1701927185059,583.786376953125,31.2360000610352,3.30925011634827,27.9267501831055,9.33787536621094,22.4700832366943,22.6675415039062,8.40775012969971,643,104,4,62.0370826721191,285,32,34,263,-0.0835912517589654,-1.96343987005263
"CA","QLusCast05","Quercus lusitanica","Spain","Castano de Robledo",37.8958,-6.7079,735,"GH",5.90000009536743,-541.695878688681,-446.721389040286,15.0203857421875,11.2182292938232,40.1701927185059,583.786376953125,31.2360000610352,3.30925011634827,27.9267501831055,9.33787536621094,22.4700832366943,22.6675415039062,8.40775012969971,643,104,4,62.0370826721191,285,32,34,263,-0.0835912517589654,-1.96343987005263
"CA","QLusCast06","Quercus lusitanica","Spain","Castano de Robledo",37.8958,-6.7079,735,"GH",5.90000009536743,-541.695878688681,-446.721389040286,15.0203857421875,11.2182292938232,40.1701927185059,583.786376953125,31.2360000610352,3.30925011634827,27.9267501831055,9.33787536621094,22.4700832366943,22.6675415039062,8.40775012969971,643,104,4,62.0370826721191,285,32,34,263,-0.0835912517589654,-1.96343987005263
"CA","QLusCast10","Quercus lusitanica","Spain","Castano de Robledo",37.8958,-6.7079,735,"GH",5.90000009536743,-541.695878688681,-446.721389040286,15.0203857421875,11.2182292938232,40.1701927185059,583.786376953125,31.2360000610352,3.30925011634827,27.9267501831055,9.33787536621094,22.4700832366943,22.6675415039062,8.40775012969971,643,104,4,62.0370826721191,285,32,34,263,-0.0835912517589654,-1.96343987005263
"CA","QLusCast11","Quercus lusitanica","Spain","Castano de Robledo",37.8958,-6.7079,735,"GH",5.90000009536743,-541.695878688681,-446.721389040286,15.0203857421875,11.2182292938232,40.1701927185059,583.786376953125,31.2360000610352,3.30925011634827,27.9267501831055,9.33787536621094,22.4700832366943,22.6675415039062,8.40775012969971,643,104,4,62.0370826721191,285,32,34,263,-0.0835912517589654,-1.96343987005263
"CA","QLusCast12","Quercus lusitanica","Spain","Castano de Robledo",37.8958,-6.7079,735,"GH",5.90000009536743,-541.695878688681,-446.721389040286,15.0203857421875,11.2182292938232,40.1701927185059,583.786376953125,31.2360000610352,3.30925011634827,27.9267501831055,9.33787536621094,22.4700832366943,22.6675415039062,8.40775012969971,643,104,4,62.0370826721191,285,32,34,263,-0.0835912517589654,-1.96343987005263
"CA","QLusCast13","Quercus lusitanica","Spain","Castano de Robledo",37.8958,-6.7079,735,"GH",5.90000009536743,-541.695878688681,-446.721389040286,15.0203857421875,11.2182292938232,40.1701927185059,583.786376953125,31.2360000610352,3.30925011634827,27.9267501831055,9.33787536621094,22.4700832366943,22.6675415039062,8.40775012969971,643,104,4,62.0370826721191,285,32,34,263,-0.0835912517589654,-1.96343987005263
"BU","QLusBuje01","Quercus lusitanica","Spain","El Bujeo",36.07097,-5.5298,275,"",6.09999990463257,-158.608871895881,-367.697364208486,16.7920207977295,7.85374879837036,37.7176208496094,455.891174316406,28.2851066589355,7.46261405944824,20.8224925994873,12.7054710388184,22.3767986297607,22.8054714202881,11.582067489624,876,145,0,78.1365432739258,415,14,22,410,-4.5250521064687,-1.79760501356645
"BU","QLusBuje02","Quercus lusitanica","Spain","El Bujeo",36.07097,-5.5298,275,"",6.09999990463257,-158.608871895881,-367.697364208486,16.7920207977295,7.85374879837036,37.7176208496094,455.891174316406,28.2851066589355,7.46261405944824,20.8224925994873,12.7054710388184,22.3767986297607,22.8054714202881,11.582067489624,876,145,0,78.1365432739258,415,14,22,410,-4.5250521064687,-1.79760501356645
"BU","QLusBuje03","Quercus lusitanica","Spain","El Bujeo",36.07097,-5.5298,275,"",6.09999990463257,-158.608871895881,-367.697364208486,16.7920207977295,7.85374879837036,37.7176208496094,455.891174316406,28.2851066589355,7.46261405944824,20.8224925994873,12.7054710388184,22.3767986297607,22.8054714202881,11.582067489624,876,145,0,78.1365432739258,415,14,22,410,-4.5250521064687,-1.79760501356645
"BU","QLusBuje04","Quercus lusitanica","Spain","El Bujeo",36.07097,-5.5298,275,"",6.09999990463257,-158.608871895881,-367.697364208486,16.7920207977295,7.85374879837036,37.7176208496094,455.891174316406,28.2851066589355,7.46261405944824,20.8224925994873,12.7054710388184,22.3767986297607,22.8054714202881,11.582067489624,876,145,0,78.1365432739258,415,14,22,410,-4.5250521064687,-1.79760501356645
"BU","QLusBuje07","Quercus lusitanica","Spain","El Bujeo",36.07097,-5.5298,275,"",6.09999990463257,-158.608871895881,-367.697364208486,16.7920207977295,7.85374879837036,37.7176208496094,455.891174316406,28.2851066589355,7.46261405944824,20.8224925994873,12.7054710388184,22.3767986297607,22.8054714202881,11.582067489624,876,145,0,78.1365432739258,415,14,22,410,-4.5250521064687,-1.79760501356645
"BU","QLusBuje08","Quercus lusitanica","Spain","El Bujeo",36.07097,-5.5298,275,"",6.09999990463257,-158.608871895881,-367.697364208486,16.7920207977295,7.85374879837036,37.7176208496094,455.891174316406,28.2851066589355,7.46261405944824,20.8224925994873,12.7054710388184,22.3767986297607,22.8054714202881,11.582067489624,876,145,0,78.1365432739258,415,14,22,410,-4.5250521064687,-1.79760501356645
"BU","QLusBuje10","Quercus lusitanica","Spain","El Bujeo",36.07097,-5.5298,275,"",6.09999990463257,-158.608871895881,-367.697364208486,16.7920207977295,7.85374879837036,37.7176208496094,455.891174316406,28.2851066589355,7.46261405944824,20.8224925994873,12.7054710388184,22.3767986297607,22.8054714202881,11.582067489624,876,145,0,78.1365432739258,415,14,22,410,-4.5250521064687,-1.79760501356645
